Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1985-CO,0.962,0.890,2.233,2.477,1.919,0.755,3.004,0.948,2.589,1.775,2.334,0.859
1986-CO,0.317,1.491,1.002,2.406,1.420,1.927,2.428,2.120,2.140,2.220,1.976,0.595
1987-CO,1.337,1.942,1.723,0.917,2.682,1.514,1.224,2.481,0.712,0.877,1.555,1.375
1988-CO,1.486,0.739,1.004,1.311,2.081,1.760,1.722,1.976,1.709,0.336,1.433,1.224
1989-CO,1.172,1.688,0.878,0.618,1.157,1.476,2.095,1.818,1.555,0.902,0.313,0.644
1990-CO,1.012,1.151,1.990,2.449,1.842,0.674,3.204,1.812,2.363,1.666,1.563,1.168
1991-CO,0.745,0.487,2.036,1.129,1.475,1.681,2.611,2.453,1.368,1.114,2.432,0.986
1992-CO,0.622,0.829,2.164,0.671,2.156,1.893,2.490,3.124,0.757,0.827,1.540,1.308
1993-CO,1.652,2.168,1.608,1.564,2.156,1.061,1.040,3.507,1.223,1.764,1.405,0.633
1994-CO,0.722,1.134,1.205,2.466,1.793,1.081,1.057,2.347,1.479,2.011,1.828,0.700
1995-CO,1.037,1.062,2.339,2.456,3.927,2.638,1.749,1.679,1.883,0.441,0.807,0.608
1996-CO,1.582,1.224,1.155,1.176,1.476,1.718,2.182,1.883,1.974,1.805,1.525,1.105
1997-CO,1.822,1.245,0.465,2.252,1.789,2.006,2.084,3.320,2.562,2.109,1.476,0.880
1998-CO,0.719,1.045,2.007,1.714,0.796,0.879,3.652,1.966,0.952,2.859,1.409,0.569
1999-CO,1.000,0.638,0.706,4.197,2.495,1.470,2.695,3.408,1.395,0.553,0.285,0.645
2000-CO,1.148,1.163,2.803,1.249,0.977,0.960,1.549,2.073,1.198,2.081,0.793,0.758
2001-CO,1.196,1.349,1.573,1.641,2.452,0.835,2.388,2.159,0.862,0.586,1.145,0.663
2002-CO,0.647,0.470,0.807,0.539,0.428,0.697,1.054,1.319,2.259,1.565,0.929,0.666
2003-CO,0.426,1.488,2.017,1.362,1.467,1.704,1.162,1.918,1.661,0.450,1.501,0.947
2004-CO,1.035,1.404,0.592,3.276,0.521,1.645,2.283,1.574,2.061,1.574,1.633,0.879
2005-CO,2.281,1.210,1.376,1.849,1.365,1.696,1.007,2.261,1.495,2.204,0.753,0.867
2006-CO,0.974,0.438,1.791,0.967,0.787,0.778,3.253,2.899,2.149,2.867,0.786,1.548
2007-CO,1.124,0.898,1.123,2.085,2.042,1.056,2.237,2.365,1.841,1.016,0.488,2.968
2008-CO,1.804,1.549,0.953,0.988,1.353,0.788,1.535,2.997,0.943,1.228,0.891,2.150
2009-CO,0.893,0.759,1.128,2.270,1.838,2.375,1.935,1.131,1.504,2.126,0.553,1.317
2010-CO,1.080,1.190,1.793,1.879,1.031,1.016,2.435,2.315,0.872,1.342,0.853,1.643
2011-CO,0.612,1.247,1.054,1.926,2.064,0.679,2.184,1.653,1.295,1.747,0.984,1.028
2012-CO,0.657,1.332,0.475,1.252,0.959,0.372,2.163,1.213,1.395,0.664,0.492,1.383
2013-CO,0.974,0.883,0.975,1.486,1.264,0.578,2.461,2.358,3.741,1.432,1.471,0.764
2014-CO,0.995,1.123,1.142,1.328,1.846,0.879,2.696,2.302,1.947,1.049,1.170,1.258
2015-CO,0.693,1.487,0.904,1.523,4.892,1.777,2.323,1.644,0.797,1.799,1.605,1.515
2016-CO,1.051,0.804,1.109,2.684,1.909,1.132,1.480,2.431,1.007,0.404,0.957,1.783
2017-CO,2.498,1.034,1.206,2.035,2.478,0.581,3.223,1.870,2.143,0.850,0.511,0.357
