Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990-TN,680.601,498.491,444.564,290.06,112.764,3.972,0,0,19.987,248.994,424.536,679.072
1991-TN,818.19,638.741,467.115,166.416,33.074,3.818,0,0,23.946,214.292,594.881,691.149
1992-TN,822.237,577.866,550.612,264.056,136.559,17.469,0,4.73,34.206,296.512,529.827,811.292
1993-TN,741.767,757.594,642.293,330.624,92.551,2.031,0,0,37.643,282.842,570.102,817.544
1994-TN,1040.144,657.404,543.112,185.289,160.185,0,0,0,58.15,231.816,389.81,668.759
1995-TN,840.203,748.039,445.747,219.858,85.263,9.115,0,0,41.825,244.635,677.659,879.693
1996-TN,918.443,746.002,682.004,337.352,54.813,4.733,0,0,51.01,237.042,631.78,707.85
1997-TN,864.692,572.801,402.372,375.901,174.346,12.85,0,0,28.856,258.215,649.997,821.792
1998-TN,713.624,593.565,540.986,271.553,43.385,0,0,0,6.221,170.303,444.726,672.312
1999-TN,726.519,593.128,643.402,159.235,88.759,1.524,0,0,33.968,244.205,388.538,743.325
2000-TN,860.185,566.478,420.594,311.542,49.484,1.524,0,0,30.867,185.878,553.589,1057.375
2001-TN,958.808,576.273,643.196,170.61,74.565,9.87,0,0,52.767,297.344,377.99,642.593
2002-TN,782.254,693.469,527.901,168.015,116.848,0,0,0,8.586,170.449,598.723,805.694
2003-TN,1025.364,739.064,438.589,202.478,78.235,13.645,0,0,41.422,244.596,383.078,831.97
2004-TN,888.664,722.081,416.147,259.546,35.221,3.818,0,3.765,28.964,142.289,380.802,824.816
2005-TN,710.323,596.279,581.427,244.915,137.251,1.524,0,0,11.82,213.401,456.687,897.357
2006-TN,646.38,748.847,506.095,124.134,106.17,5.141,0,0,55.561,305.54,508.253,682.994
2007-TN,777.482,827.833,329.719,317.25,54.005,0,0,0,10.003,133.264,522.305,638.281
2008-TN,898.436,642.381,528.511,247.604,106.649,0,0,0,17.165,256.837,610.975,758.658
2009-TN,927.139,658.687,482.504,262.394,77.59,0,0,0,22.292,293.22,451.517,845.262
2010-TN,1007.482,887.124,578.264,169.67,44.021,0,0,0,16.053,227.708,468.359,1027.924
2011-TN,974.11,618.279,469.326,167.277,85.532,0,0,0,42.013,285.76,436.791,686.683
2012-TN,722.875,586.048,242.849,185.293,32.215,3.818,0,0,35.424,282.469,588.747,618.44
2013-TN,749.522,693.797,709.792,266.072,101.189,1.27,0,0,22.834,210.766,617.417,760.811
