"date","time","RSVpos","fluApos","fluBpos","HHS_REGION"
2015.15890410959,4.158904109589,472,105,173,"8"
2015.15890410959,4.158904109589,159,406,102,"9"
2015.15890410959,4.158904109589,115,60,24,"10"
2015.17808219178,4.17808219178073,87,163,45,"1"
2015.17808219178,4.17808219178073,98,223,81,"2"
2015.17808219178,4.17808219178073,80,138,67,"3"
2015.17808219178,4.17808219178073,72,159,326,"4"
2015.17808219178,4.17808219178073,398,68,217,"5"
2015.17808219178,4.17808219178073,317,114,232,"6"
2015.17808219178,4.17808219178073,108,40,121,"7"
2015.17808219178,4.17808219178073,332,38,152,"8"
2015.17808219178,4.17808219178073,110,344,92,"9"
2015.17808219178,4.17808219178073,92,50,19,"10"
2015.19726027397,4.19726027397269,68,136,47,"1"
2015.19726027397,4.19726027397269,100,153,127,"2"
2015.19726027397,4.19726027397269,85,67,75,"3"
2015.19726027397,4.19726027397269,77,78,306,"4"
2015.19726027397,4.19726027397269,365,60,389,"5"
2015.19726027397,4.19726027397269,114,70,280,"6"
2015.19726027397,4.19726027397269,102,32,125,"7"
2015.19726027397,4.19726027397269,276,54,177,"8"
2015.19726027397,4.19726027397269,100,193,108,"9"
2015.19726027397,4.19726027397269,63,28,22,"10"
2015.21643835616,4.21643835616442,80,98,86,"1"
2015.21643835616,4.21643835616442,94,115,173,"2"
2015.21643835616,4.21643835616442,55,48,98,"3"
2015.21643835616,4.21643835616442,64,69,265,"4"
2015.21643835616,4.21643835616442,211,58,360,"5"
2015.21643835616,4.21643835616442,172,33,192,"6"
2015.21643835616,4.21643835616442,76,23,110,"7"
2015.21643835616,4.21643835616442,212,30,138,"8"
2015.21643835616,4.21643835616442,68,141,113,"9"
2015.21643835616,4.21643835616442,61,29,30,"10"
2015.23561643836,4.23561643835615,49,81,115,"1"
2015.23561643836,4.23561643835615,91,75,222,"2"
2015.23561643836,4.23561643835615,44,32,113,"3"
2015.23561643836,4.23561643835615,37,49,183,"4"
2015.23561643836,4.23561643835615,220,51,370,"5"
2015.23561643836,4.23561643835615,112,18,127,"6"
2015.23561643836,4.23561643835615,76,24,105,"7"
2015.23561643836,4.23561643835615,154,3,126,"8"
2015.23561643836,4.23561643835615,47,88,88,"9"
2015.23561643836,4.23561643835615,40,10,30,"10"
2015.25479452055,4.25479452054788,45,42,119,"1"
2015.25479452055,4.25479452054788,60,61,211,"2"
2015.25479452055,4.25479452054788,32,21,96,"3"
2015.25479452055,4.25479452054788,45,25,129,"4"
2015.25479452055,4.25479452054788,201,38,399,"5"
2015.25479452055,4.25479452054788,105,21,125,"6"
2015.25479452055,4.25479452054788,33,5,76,"7"
2015.25479452055,4.25479452054788,115,12,118,"8"
2015.25479452055,4.25479452054788,26,52,75,"9"
2015.25479452055,4.25479452054788,33,14,29,"10"
2015.27397260274,4.27397260273983,61,41,109,"1"
2015.27397260274,4.27397260273983,33,21,183,"2"
2015.27397260274,4.27397260273983,34,16,108,"3"
2015.27397260274,4.27397260273983,36,31,125,"4"
2015.27397260274,4.27397260273983,153,24,371,"5"
2015.27397260274,4.27397260273983,67,9,87,"6"
2015.27397260274,4.27397260273983,35,2,72,"7"
2015.27397260274,4.27397260273983,80,8,106,"8"
2015.27397260274,4.27397260273983,22,39,76,"9"
2015.27397260274,4.27397260273983,30,11,35,"10"
2015.29315068493,4.29315068493156,32,20,118,"1"
2015.29315068493,4.29315068493156,36,25,149,"2"
2015.29315068493,4.29315068493156,28,12,76,"3"
2015.29315068493,4.29315068493156,20,25,98,"4"
2015.29315068493,4.29315068493156,117,13,242,"5"
2015.29315068493,4.29315068493156,43,9,48,"6"
2015.29315068493,4.29315068493156,22,2,44,"7"
2015.29315068493,4.29315068493156,45,2,101,"8"
2015.29315068493,4.29315068493156,10,42,72,"9"
2015.29315068493,4.29315068493156,25,8,21,"10"
2015.31232876712,4.31232876712329,27,12,78,"1"
2015.31232876712,4.31232876712329,16,5,89,"2"
2015.31232876712,4.31232876712329,24,5,45,"3"
2015.31232876712,4.31232876712329,24,12,81,"4"
2015.31232876712,4.31232876712329,95,11,145,"5"
2015.31232876712,4.31232876712329,39,4,35,"6"
2015.31232876712,4.31232876712329,19,2,29,"7"
2015.31232876712,4.31232876712329,30,6,87,"8"
2015.31232876712,4.31232876712329,6,30,62,"9"
2015.31232876712,4.31232876712329,16,3,32,"10"
2015.33150684932,4.33150684931502,14,7,52,"1"
2015.33150684932,4.33150684931502,13,17,55,"2"
2015.33150684932,4.33150684931502,19,5,46,"3"
2015.33150684932,4.33150684931502,27,14,76,"4"
2015.33150684932,4.33150684931502,65,6,117,"5"
2015.33150684932,4.33150684931502,35,1,16,"6"
2015.33150684932,4.33150684931502,13,1,25,"7"
2015.33150684932,4.33150684931502,33,2,67,"8"
2015.33150684932,4.33150684931502,3,11,52,"9"
2015.33150684932,4.33150684931502,6,2,38,"10"
2015.35068493151,4.35068493150675,11,2,45,"1"
2015.35068493151,4.35068493150675,13,5,28,"2"
2015.35068493151,4.35068493150675,12,3,31,"3"
2015.35068493151,4.35068493150675,27,10,70,"4"
2015.35068493151,4.35068493150675,40,5,97,"5"
2015.35068493151,4.35068493150675,20,0,16,"6"
2015.35068493151,4.35068493150675,7,1,17,"7"
2015.35068493151,4.35068493150675,14,1,65,"8"
2015.35068493151,4.35068493150675,8,5,88,"9"
2015.35068493151,4.35068493150675,10,1,37,"10"
2015.3698630137,4.3698630136987,5,4,18,"1"
2015.3698630137,4.3698630136987,5,10,26,"2"
