psi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0.23,-7287.85742342587,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.24,-7315.65179329055,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.25,-7343.97148405674,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.26,-7372.7258391977,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.27,-7401.83230012517,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.28,-7431.1961105868,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.29,-7460.72563830542,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.3,-7490.3335267303,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.31,-7519.9192906005,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.32,-7549.40014995965,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.33,-7578.6867326959,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.34,-7607.69830525412,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.35,-7636.35352682169,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.36,-7664.58768606195,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.37,-7692.33518532629,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.38,-7719.54579788509,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.39,-7746.18140020124,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.4,-7772.21864793173,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.41,-7797.6489477066,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
0.42,-7822.47988224797,3,"fluA",-6931.43391826554,-6929.51318885519,0,0.01
