,HHS_region,mean_tmp
717,region10,7.9479999999999995
718,region10,9.037
719,region10,9.391
720,region10,10.212
721,region10,9.369
722,region10,6.183
723,region10,6.784
724,region10,7.507999999999999
725,region10,9.712
726,region10,4.727
727,region10,11.487
728,region10,6.521
729,region10,15.735
730,region8,0.42700000000000005
731,region8,2.483
732,region8,1.8880000000000001
733,region8,1.149
734,region8,1.953
735,region8,1.2570000000000001
736,region8,1.4869999999999999
737,region8,1.564
738,region8,2.125
739,region8,2.2
740,region8,0.78
741,region8,0.7490000000000001
742,region8,1.083
743,region8,0.27
744,region8,1.295
745,region8,0.9540000000000001
746,region8,0.777
747,region8,1.115
748,region8,0.433
749,region8,1.6440000000000001
750,region8,0.5920000000000001
751,region8,3.0469999999999997
752,region8,1.084
753,region8,0.882
754,region8,0.519
755,region8,1.2919999999999998
756,region8,1.883
757,region8,1.119
758,region8,0.386
759,region8,0.6559999999999999
760,region8,2.396
761,region8,1.996
762,region8,3.782
763,region8,0.631
764,region8,1.7469999999999999
765,region8,1.138
766,region8,0.5
767,region8,0.877
768,region8,0.655
769,region8,1.1909999999999998
770,region8,1.403
771,region8,0.83
772,region8,1.072
773,region8,0.8340000000000001
774,region8,0.674
775,region8,3.282
776,region8,0.528
777,region8,2.062
778,region8,1.7719999999999998
779,region8,2.8289999999999997
780,region8,1.636
781,region8,1.258
782,region8,1.537
783,region8,1.028
784,region8,0.47100000000000003
785,region8,0.429
786,region8,0.637
787,region8,3.074
788,region8,1.571
789,region8,0.56
790,region8,1.8119999999999998
791,region8,1.41
792,region8,1.6380000000000001
793,region8,0.462
794,region8,1.121
795,region8,1.0290000000000001
796,region8,0.6920000000000001
797,region8,0.8859999999999999
798,region8,1.5719999999999998
799,region8,3.162
800,region8,1.006
801,region8,1.8459999999999999
802,region8,0.882
803,region5,0.456
804,region5,1.765
805,region5,2.378
806,region5,0.6779999999999999
807,region5,1.735
808,region5,0.8759999999999999
809,region5,0.642
810,region5,0.529
811,region5,0.51
812,region5,0.318
813,region5,0.434
814,region5,0.628
815,region5,1.032
816,region5,0.182
817,region5,0.7040000000000001
818,region5,0.539
819,region5,0.77
820,region5,0.648
821,region5,1.025
822,region5,2.8960000000000004
823,region5,0.963
824,region5,2.778
825,region5,0.753
826,region5,1.9280000000000002
827,region5,0.919
828,region5,1.129
829,region5,0.6970000000000001
830,region5,1.6580000000000001
831,region5,1.454
832,region5,0.573
833,region5,0.873
834,region5,1.449
835,region5,1.8359999999999999
836,region5,0.133
837,region5,1.7930000000000001
838,region5,1.138
839,region5,0.515
840,region5,0.591
841,region5,0.649
842,region5,0.693
843,region5,1.218
844,region5,0.6759999999999999
845,region5,0.833
846,region5,0.536
847,region5,0.804
848,region5,1.3630000000000002
849,region5,1.176
850,region5,0.5770000000000001
851,region5,2.759
852,region5,2.048
853,region5,1.903
854,region5,2.113
855,region5,1.298
856,region5,1.128
857,region5,0.491
858,region5,0.373
859,region5,0.8640000000000001
860,region5,1.328
861,region5,1.2409999999999999
862,region5,0.9329999999999999
863,region5,1.351
864,region5,0.5710000000000001
865,region5,0.7859999999999999
866,region5,0.887
867,region5,0.987
868,region5,1.505
869,region5,1.232
870,region5,0.53
871,region5,0.8690000000000001
872,region5,2.085
873,region5,1.189
874,region5,1.273
875,region5,1.31
876,region5,0.43
877,region5,1.5519999999999998
878,region5,1.459
879,region5,0.51
880,region5,1.074
881,region5,0.956
882,region5,0.7929999999999999
883,region5,0.535
884,region5,0.794
885,region5,0.29100000000000004
886,region5,0.40299999999999997
887,region5,0.31
888,region5,0.615
889,region5,0.212
890,region5,0.643
891,region5,0.326
892,region5,0.431
893,region5,0.349
894,region5,0.672
895,region5,1.7790000000000001
896,region5,0.665
897,region5,2.499
898,region5,0.494
899,region5,0.889
900,region5,0.909
901,region5,0.511
902,region5,0.435
903,region5,2.258
904,region5,0.9109999999999999
905,region5,0.617
906,region5,0.423
907,region5,1.0170000000000001
908,region5,1.037
909,region5,0.18100000000000002
910,region5,1.4040000000000001
911,region5,0.765
912,region5,0.524
913,region5,0.418
914,region5,0.6509999999999999
915,region5,0.483
916,region5,0.995
917,region5,1.031
918,region5,0.382
919,region5,0.45299999999999996
920,region5,0.67
921,region5,0.953
922,region5,0.973
923,region5,0.621
924,region5,1.67
925,region5,1.544
926,region5,0.95
927,region5,1.204
928,region5,0.608
929,region5,0.8420000000000001
930,region5,0.237
931,region5,0.24
932,region5,0.7290000000000001
933,region5,1.319
934,region5,0.527
935,region5,0.455
936,region5,0.23800000000000002
937,region5,0.597
938,region5,0.8959999999999999
939,region5,1.025
940,region5,0.5760000000000001
941,region5,0.9590000000000001
942,region5,0.7979999999999999
943,region5,0.494
944,region5,0.529
945,region5,1.044
946,region5,0.631
947,region5,0.685
948,region5,0.878
949,region3,6.676
950,region3,5.257000000000001
951,region3,1.864
952,region3,2.052
953,region3,5.269
954,region3,4.296
955,region3,2.5639999999999996
956,region3,0.565
957,region3,2.557
958,region3,2.238
959,region3,3.485
960,region3,1.7009999999999998
961,region3,2.4290000000000003
962,region3,3.071
963,region3,3.795
964,region3,2.186
965,region3,4.4319999999999995
966,region3,3.095
967,region3,3.338
968,region3,1.584
969,region3,2.252
970,region3,2.335
971,region3,1.7009999999999998
972,region3,2.675
973,region3,3.092
974,region3,3.1489999999999996
975,region3,3.215
976,region3,4.984
977,region3,5.257999999999999
978,region3,2.4019999999999997
979,region3,7.019
980,region3,7.534
981,region3,3.1239999999999997
982,region3,0.52
983,region3,3.8139999999999996
984,region3,2.119
985,region3,2.421
986,region3,2.4130000000000003
987,region3,3.9419999999999997
988,region3,6.223
989,region3,3.2510000000000003
990,region3,2.6639999999999997
991,region3,3.653
992,region3,4.728
993,region3,1.3090000000000002
994,region3,3.193
995,region3,4.659
996,region3,3.342
997,region3,4.936
998,region3,2.483
999,region3,6.124
1000,region3,5.8
1001,region3,3.321
1002,region3,3.0669999999999997
1003,region3,2.499
1004,region3,1.5959999999999999
1005,region3,2.302
1006,region3,4.364
1007,region3,3.927
1008,region3,3.9419999999999997
1009,region3,1.854
1010,region3,2.363
1011,region3,2.8480000000000003
1012,region3,3.185
1013,region3,2.125
1014,region3,3.035
1015,region3,3.071
1016,region3,4.945
1017,region3,2.6689999999999996
1018,region3,3.009
1019,region3,2.9810000000000003
1020,region3,3.452
1021,region3,3.185
1022,region1,4.122
1023,region1,4.579
1024,region1,4.337
1025,region1,3.236
1026,region1,4.484
1027,region1,6.292000000000001
1028,region1,2.891
1029,region1,0.8640000000000001
1030,region1,4.683
1031,region1,2.292
1032,region1,6.8839999999999995
1033,region1,3.19
1034,region1,3.2960000000000003
1035,region1,2.546
1036,region1,3.603
1037,region1,3.195
1038,region1,4.582
1039,region1,2.4090000000000003
1040,region1,3.602
1041,region1,1.765
1042,region1,2.687
1043,region1,1.8969999999999998
1044,region1,1.0070000000000001
1045,region1,2.2319999999999998
1046,region1,2.215
1047,region1,3.719
1048,region1,3.866
1049,region1,5.225
1050,region1,5.484
1051,region1,3.4589999999999996
1052,region1,8.446
1053,region1,10.856
1054,region1,1.176
1055,region1,0.905
1056,region1,4.279
1057,region1,4.684
1058,region1,2.335
1059,region1,1.197
1060,region1,4.957
1061,region1,5.385
1062,region1,2.759
1063,region1,1.3
1064,region1,4.677
1065,region1,3.0210000000000004
1066,region1,2.673
1067,region1,2.4730000000000003
1068,region1,5.13
1069,region1,3.7560000000000002
1070,region1,6.709
1071,region1,3.389
1072,region1,5.733
1073,region1,6.365
1074,region1,3.502
1075,region1,2.167
1076,region1,2.593
1077,region1,2.904
1078,region1,1.561
1079,region1,5.0569999999999995
