HHS_region,season,mean_temp
region4,1957.0,53.29291071428571
region4,1958.0,54.61264285714286
region4,1959.0,51.63100000000001
region4,1960.0,53.032500000000006
region4,1961.0,53.54210714285715
region4,1962.0,51.76121428571429
region4,1963.0,52.25414285714286
region4,1964.0,52.17580357142857
region4,1965.0,53.078250000000004
region4,1966.0,53.02955357142857
region4,1967.0,51.32194642857143
region4,1968.0,52.656285714285715
region4,1969.0,50.82973214285715
region4,1970.0,53.618160714285715
region4,1971.0,54.26026785714286
region4,1972.0,53.12796428571429
region4,1973.0,54.921749999999996
region4,1974.0,51.68775
region4,1975.0,54.76669642857143
region4,1976.0,51.449017857142856
region4,1977.0,53.543321428571424
region4,1978.0,52.43344642857143
region4,1979.0,50.708357142857146
region4,1980.0,51.46676785714286
region4,1981.0,51.502053571428576
region4,1982.0,53.903910714285715
region4,1983.0,51.88041071428571
region4,1984.0,53.60496428571429
region4,1985.0,53.69501785714285
region4,1986.0,53.28964285714286
region4,1987.0,53.745642857142855
region4,1988.0,52.30019642857143
region4,1989.0,51.05766071428571
region4,1990.0,55.294642857142854
region4,1991.0,55.416428571428575
region4,1992.0,54.031124999999996
region4,1993.0,53.50492857142857
region4,1994.0,54.09260714285715
region4,1995.0,52.423160714285714
region4,1996.0,53.190999999999995
region4,1997.0,52.169964285714286
region4,1998.0,55.623375
region4,1999.0,54.93514285714286
region4,2000.0,53.83867857142857
region4,2001.0,54.613910714285716
region4,2002.0,54.431196428571425
region4,2003.0,54.69560714285715
region4,2004.0,53.80832142857143
region4,2005.0,53.57141071428571
region4,2006.0,54.50592857142857
region4,2007.0,56.547803571428574
region4,2008.0,53.03724999999999
region4,2009.0,53.591232142857145
region4,2010.0,52.96639285714286
region4,2011.0,52.744125
region4,2012.0,54.05719642857143
region4,2013.0,55.259928571428574
region4,2014.0,54.31780357142857
region4,2015.0,55.26560714285715
region4,2016.0,54.939625
region4,2017.0,54.29376785714286
region4,2018.0,57.56123214285714
region4,2019.0,55.5165
region4,2020.0,56.02432142857143
region4,2021.0,51.40425
region5,1948.0,44.156625
region5,1949.0,36.61309523809524
region5,1950.0,36.22711904761905
region5,1951.0,34.43485714285715
region5,1952.0,36.55254761904762
region5,1953.0,39.63466666666667
region5,1954.0,38.101976190476186
region5,1955.0,37.692166666666665
region5,1956.0,38.66104761904762
region5,1957.0,36.4995
region5,1958.0,36.18478571428572
